いちじ,1:00
にじ,2:00
さんじ,3:00
よじ,4:00
ごじ,5:00
ろくじ,6:00
しちじ,7:00
はちじ,8:00
くじ,9:00
じゅうじ,10:00
じゅういちじ,11:00
じゅうにじ,12:00
なんじ,?:00
いっぷん,0:01
にふん,0:02
さんぷん,0:03
よんぷん,0:04
ごふん,0:05
ろっぷん,0:06
ななふん,0:07
はっぷん,0:08
きゅうふん,0:09
じゅっぷん,0:10
じゅうごふん,0:11
にじゅっぷん,0:20
にじゅうごふん,0:25
さんじゅっぷん,0:30
なんぷん,0:0?
